ProductID,ProductName,Price,Quantity,LastDateReceived
1,MacBook,1299.99,5,2023-12-01
2,Chromebook,899.99,10,2023-05-10
3,Iphone 15,1099.99,2,2023-12-10
4,Samsung S23,999.99,11,2023-07-06
5,PS5,649.99,3,2022-11-05
6,Sony OLED TV,2999.99,1,2022-10-20
7,Samsung QLED TV,3999.99,2,2023-11-05
8,HP Printer,249.99,15,2023-07-07
9,Canon Printer,159.99,20,2023-11-05
10,Apple Airtag,39.99,30,2022-02-03
11,Google Chromecast,39.99,12,2023-08-08
12,Mouse,5.99,40,2023-12-06
13,Ipad,549.99,8,2023-09-07
14,JBL Headphone ,129.99,17,2021-04-20
15,Canon Camera,899.99,3,2022-05-21
16,SanDisk Micro SD Card,59.99,12,2023-11-29
17,Turntable ,129.99,20,2021-09-09
18,Hisense Universal Remote,49.99,19,2023-07-19
19,Apple Watch ,345.99,8,2023-06-06
20,Wireless Charging Cable,59.99,15,2023-03-13
